material_id,formula_pretty,formula_anonymous,band_gap,energy_above_hull,density,volume,nsites,nelements,elements,crystal_system,spacegroup_symbol,spacegroup_number,status,error
mp-2715259,Na3La2(PO4)3,A2B3C3D12,4.467,0.06489473908333387,3.3402736299729945,1256.128374087956,80,4,"La,Na,O,P",Monoclinic,Cc,9,ok,
mp-2715260,Na3LaSiSn(PO6)2,ABCD2E3F12,1.9805,0.11986722591666865,3.4557515261367953,1169.7851242725358,80,6,"La,Na,O,P,Si,Sn",Monoclinic,Cc,9,ok,
mp-2715261,Na3Si2Ge2PO12,AB2C2D3E12,3.1536,0.09064764183333196,3.478073257407003,942.232222069144,80,5,"Ge,Na,O,P,Si",Monoclinic,Cc,9,ok,
mp-2715262,Na3Al2(PO4)3,A2B3C3D12,5.04,0.011856669302079403,2.9721745153078953,1367.1707279535265,120,4,"Al,Na,O,P",Monoclinic,Cc,9,ok,
mp-2715263,Na6Ta3Ga(SiO4)6,AB3C6D6E24,3.5983,0.03689352066666718,4.143830559721001,1044.2940550424994,80,5,"Ga,Na,O,Si,Ta",Triclinic,P1,1,ok,
mp-2715264,Na3NbSi3GeO12,ABC3D3E12,3.0122999999999998,0.06051617879166926,3.353655904305259,1517.4100889527062,120,5,"Ge,Na,Nb,O,Si",Monoclinic,Cc,9,ok,
mp-2715265,Na9MgNb5(SiO4)9,AB5C9D9E36,2.4084,0.03758342037499851,3.1617736329237807,3202.607171277198,240,5,"Mg,Na,Nb,O,Si",Triclinic,P1,1,ok,
mp-2715266,Na9Ca2Ta4Si6(PO12)3,A2B3C4D6E9F36,2.7958,0.051970807236115135,3.774730424821056,4878.422181451239,360,6,"Ca,Na,O,P,Si,Ta",Triclinic,P1,1,ok,
mp-2715267,Na3YTiSi(PO6)2,ABCD2E3F12,2.0505,0.08114028616111124,2.973004169385754,1634.6249334340985,120,6,"Na,O,P,Si,Ti,Y",Monoclinic,Cc,9,ok,
mp-2715268,Na3ZrTa(SiO4)3,ABC3D3E12,3.7905999999999995,0.02203744295833232,3.751131838141044,1639.826703098698,120,5,"Na,O,Si,Ta,Zr",Monoclinic,Cc,9,ok,
mp-2715269,Na6CaSi2Sn3(PO6)4,AB2C3D4E6F24,2.3384,0.06116494252083449,3.3860295250440537,1077.1324400882306,80,6,"Ca,Na,O,P,Si,Sn",Triclinic,P1,1,ok,
mp-2715270,Na3ZrInSi(PO6)2,ABCD2E3F12,3.7605999999999993,0.03633539299999988,3.3941504013844703,1090.0894902973794,80,6,"In,Na,O,P,Si,Zr",Monoclinic,Cc,9,ok,
mp-2715271,Na3LaNbSi2PO12,ABCD2E3F12,2.33,0.14946392862500169,3.2972507605455794,3504.6567981370727,240,6,"La,Na,Nb,O,P,Si",Monoclinic,Cc,9,ok,
mp-2715272,Na3LaSc(PO4)3,ABC3D3E12,4.369400000000001,0.05164161070833462,3.060971785529002,1750.3190593485858,120,5,"La,Na,O,P,Sc",Triclinic,P1,1,ok,
